no,type,title,assignees,milestone,labels,state,user,created_at,closed_at,closed_by,updated_at,due_on,actual_man_hour,estimated_man_hour,project,project_status
1,PullRequest,PRのテンプレートやおおまかなディレクトリを作成,,,,closed,ma3-ndbox,2020-03-12 03:12:35,2020-03-12 03:13:27,ma3-ndbox,2020-03-12 03:13:27,,,,,
2,Issue,このリポジトリの更新状況をSlackへ通知させる,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-12 03:15:02,2020-03-13 01:01:35,rothr4,2020-03-18 04:26:46,2020-04-05 07:00:00,0.25,,tasks,完了
3,Issue,要件定義のテンプレート作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-12 03:15:45,2020-03-15 01:15:43,ma3-ndbox,2020-03-18 04:09:43,2020-04-05 07:00:00,0.5,,tasks,完了
4,Issue,要件定義テンプレートのレビュー会(ゲスト),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-12 03:17:29,2020-03-16 20:43:23,ma3-ndbox,2020-03-18 04:07:24,2020-04-05 07:00:00,1.0,,tasks,完了
5,Issue,要件定義テンプレートのレビュー会(内部メンバー),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-12 03:17:36,2020-03-14 22:54:03,rothr4,2020-03-18 11:11:19,2020-04-05 07:00:00,0.5,,tasks,完了
6,Issue,localstackのdocker-compose化,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-12 03:18:50,2020-03-18 04:30:24,ma3-ndbox,2020-03-18 04:30:40,2020-04-05 07:00:00,1.0,,tasks,完了
7,Issue,localstack上でクラウドフロントを動かしたい件を調査,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-12 03:21:36,2020-03-14 02:05:47,rothr4,2020-03-18 04:27:24,2020-04-05 07:00:00,3.0,,tasks,完了
8,Issue,必要であろうデータの洗い出しとデータ設計,hizakozo,フェーズ0(開発準備)-2,見積工数: 4h,open,ma3-ndbox,2020-03-12 03:23:27,,,2020-03-20 04:05:49,2020-04-26 07:00:00,,4.0,tasks,保留
9,Issue,DynamoDBとMySQLの違いを調査,hizakozo,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-12 03:27:16,,,2020-03-18 04:14:53,2020-04-05 07:00:00,,3.0,tasks,直近でやる(1~2週間以内)
10,Issue,apiコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-12 03:35:38,2020-03-15 03:43:34,ma3-ndbox,2020-03-18 04:09:32,2020-04-05 07:00:00,0.5,,tasks,完了
11,Issue,frontコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-12 03:35:43,2020-03-15 05:42:23,ma3-ndbox,2020-03-18 04:09:24,2020-04-05 07:00:00,0.5,,tasks,完了
12,Issue,DBマイグレーションの仕組みを調査,hizakozo,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-12 03:47:40,,,2020-03-20 04:07:04,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
13,Issue,超シンプルなクラウドフロントのYaml作成,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-12 03:57:29,2020-03-14 02:09:40,rothr4,2020-03-18 04:27:39,2020-04-05 07:00:00,3.0,,tasks,完了
14,Issue,あれ、github actionsって組織アカウントでも無料で使えるんだっけ?を調査,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-12 04:04:00,2020-03-13 01:17:01,rothr4,2020-03-18 04:26:53,2020-04-05 07:00:00,0.25,,tasks,完了
15,Issue,localstack上での構成管理ロジックをgithub actionsに仕込む,rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-12 04:04:08,,,2020-03-20 04:03:23,,,3.0,tasks,タスクプール
16,Issue,マイグレーションをgithub actionsに仕込む,hizakozo,,見積工数: 1.5h,open,ma3-ndbox,2020-03-12 04:04:34,,,2020-03-18 11:14:06,,,1.5,tasks,直近のマイルストーン
17,Issue,github actionsのベースを作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-12 04:05:49,2020-03-12 07:41:54,ma3-ndbox,2020-03-18 04:10:17,2020-04-05 07:00:00,1.0,,tasks,完了
18,Issue,ユーザ管理はcognitoでやりたい件を調査,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-12 04:11:01,,,2020-03-20 03:56:12,2020-04-05 07:00:00,,3.0,tasks,保留
19,Issue,ラムダが吐いたコンソールログをインフラ的にどこかのS3によしなに置けないかを調査,rothr4,,見積工数: 4h,open,ma3-ndbox,2020-03-12 04:15:29,,,2020-03-18 05:05:09,,,4.0,tasks,タスクプール
20,Issue,apiのエラー定義をよしなに使いやすそうな設計にする,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-12 04:19:32,,,2020-03-20 03:57:51,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
21,Issue,apiとfrontのリクエストレスポンスの型をよしなに共通化する,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1h,open,ma3-ndbox,2020-03-12 04:20:06,,,2020-03-20 03:57:08,2020-04-05 07:00:00,,1.0,tasks,直近のマイルストーン
22,Issue,frontのサンプル画面の作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-12 04:21:46,2020-03-15 07:13:19,ma3-ndbox,2020-03-18 04:08:58,2020-04-05 07:00:00,0.5,,tasks,完了
23,Issue,apiのサンプルエンドポイント作成,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1h,closed,ma3-ndbox,2020-03-12 04:21:52,2020-03-15 07:15:32,ma3-ndbox,2020-03-18 04:08:49,2020-04-05 07:00:00,,1.0,tasks,完了
